Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
bu fiyata göre iyi rahat,1,bu fiyata göre iyi rahat,bu fiyata göre iyi rahat,"['bu', 'fiyata', 'göre', 'iyi', 'rahat']","['fiyata', 'göre', 'iyi', 'rahat']","['fiyat', 'göre', 'iyi', 'rahat']","['fiyat', 'göre', 'iyi', 'rahat']"
çok memnun kaldım. teşekkürler,1,çok memnun kaldım. teşekkürler,çok memnun kaldım. teşekkürler,"['çok', 'memnun', 'kaldım', 'teşekkürler']","['memnun', 'kaldım', 'teşekkürler']","['memnun', 'kal', 'teşekkür']","['memnun', 'kal', 'teşekkür']"
hızlı teslimat kurulum kolay kalite orta,1,hızlı teslimat kurulum kolay kalite orta,hızlı teslimat kurulum kolay kalite orta,"['hızlı', 'teslimat', 'kurulum', 'kolay', 'kalite', 'orta']","['hızlı', 'teslimat', 'kurulum', 'kolay', 'kalite', 'orta']","['hızlı', 'teslimat', 'kurulu', 'kolay', 'kalite', 'orta']","['hızlı', 'teslimat', 'kurulu', 'kolay', 'kalit', 'orta']"
Biraz kullanışsız gibi geldi,0,biraz kullanışsız gibi geldi,biraz kullanışsız gibi geldi,"['biraz', 'kullanışsız', 'gibi', 'geldi']","['biraz', 'kullanışsız', 'geldi']","['biraz', 'kullanışsız', 'gel']","['biraz', 'kullanışsız', 'gel']"
iş görüyor fiyatı da makul,1,iş görüyor fiyatı da makul,iş görüyor fiyatı da makul,"['iş', 'görüyor', 'fiyatı', 'da', 'makul']","['iş', 'görüyor', 'fiyatı', 'makul']","['iş', 'gör', 'fiyat', 'makul']","['iş', 'gör', 'fiyat', 'makul']"
cok hareket icin uygun diil biraz rahatsız.¿¿¿!!,0,cok hareket icin uygun diil biraz rahatsız.¿¿¿!!,cok hareket icin uygun diil biraz rahatsız.¿¿¿!!,"['cok', 'hareket', 'icin', 'uygun', 'diil', 'biraz', 'rahatsız']","['cok', 'hareket', 'icin', 'uygun', 'diil', 'biraz', 'rahatsız']","['', 'hareket', '', 'uygun', '', 'biraz', 'rahatsız']","['', 'hareket', '', 'uygun', '', 'biraz', 'rahatsız']"
İdare eder çok kaliteli sayılmaz,0,i̇dare eder çok kaliteli sayılmaz,i̇dare eder çok kaliteli sayılmaz,"['idare', 'eder', 'çok', 'kaliteli', 'sayılmaz']","['idare', 'eder', 'kaliteli', 'sayılmaz']","['idare', 'eder', 'kaliteli', 'sayıl']","['idar', 'eder', 'kalit', 'sayıl']"
Fiyatına göre fena değil,2,fiyatına göre fena değil,fiyatına göre fena değil,"['fiyatına', 'göre', 'fena', 'değil']","['fiyatına', 'göre', 'fena', 'değil']","['fiyat', 'göre', 'fena', 'değil']","['fiyat', 'göre', 'fena', 'değil']"
Ürün gayet parasını hak ediyor.,1,ürün gayet parasını hak ediyor.,ürün gayet parasını hak ediyor.,"['ürün', 'gayet', 'parasını', 'hak', 'ediyor']","['ürün', 'gayet', 'parasını', 'hak', 'ediyor']","['ürün', 'gayet', 'para', 'hak', 'et']","['ürün', 'gayet', 'para', 'hak', 'et']"
kalitesiz hasarlı geldi,0,kalitesiz hasarlı geldi,kalitesiz hasarlı geldi,"['kalitesiz', 'hasarlı', 'geldi']","['kalitesiz', 'hasarlı', 'geldi']","['kalitesiz', 'hasarlı', 'gel']","['kalitesiz', 'hasarlı', 'gel']"
Pek dayanikli birsey degil,0,pek dayanikli birsey degil,pek dayanikli birsey degil,"['pek', 'dayanikli', 'birsey', 'degil']","['pek', 'dayanikli', 'birsey', 'degil']","['pek', '', '', '']","['pek', '', '', '']"
Çok kaliteli değil idare eder ????,0,çok kaliteli değil idare eder ????,çok kaliteli değil idare eder ????,"['çok', 'kaliteli', 'değil', 'idare', 'eder']","['kaliteli', 'değil', 'idare', 'eder']","['kaliteli', 'değil', 'idare', 'eder']","['kalit', 'değil', 'idar', 'eder']"
Ürün elimize ulaştı memnunuz kurulumuda kolaydı ????,1,ürün elimize ulaştı memnunuz kurulumuda kolaydı ????,ürün elimize ulaştı memnunuz kurulumuda kolaydı ????,"['ürün', 'elimize', 'ulaştı', 'memnunuz', 'kurulumuda', 'kolaydı']","['ürün', 'elimize', 'ulaştı', 'memnunuz', 'kurulumuda', 'kolaydı']","['ürün', 'el', 'ulaş', 'memnun', '', 'kolay']","['ürün', 'el', 'ulaş', 'memnun', '', 'kolay']"
çok rahat değil idare eder,2,çok rahat değil idare eder,çok rahat değil idare eder,"['çok', 'rahat', 'değil', 'idare', 'eder']","['rahat', 'değil', 'idare', 'eder']","['rahat', 'değil', 'idare', 'eder']","['rahat', 'değil', 'idar', 'eder']"
sorunsuz teslim aldık,1,sorunsuz teslim aldık,sorunsuz teslim aldık,"['sorunsuz', 'teslim', 'aldık']","['sorunsuz', 'teslim', 'aldık']","['sorunsuz', 'teslim', 'al']","['sorunsuz', 'teslim', 'al']"
fiyatina göre ise yarar,2,fiyatina göre ise yarar,fiyatina göre ise yarar,"['fiyatina', 'göre', 'ise', 'yarar']","['fiyatina', 'göre', 'yarar']","['', 'göre', 'yarar']","['', 'göre', 'yarar']"
yükseklik istedigim gibi gelmedi.,0,yükseklik istedigim gibi gelmedi.,yükseklik istedigim gibi gelmedi.,"['yükseklik', 'istedigim', 'gibi', 'gelmedi']","['yükseklik', 'istedigim', 'gelmedi']","['yükseklik', '', 'gel']","['yükseklik', '', 'gel']"
ürün iyi cok rahat değil oturma yeri,0,ürün iyi cok rahat değil oturma yeri,ürün iyi cok rahat değil oturma yeri,"['ürün', 'iyi', 'cok', 'rahat', 'değil', 'oturma', 'yeri']","['ürün', 'iyi', 'cok', 'rahat', 'değil', 'oturma', 'yeri']","['ürün', 'iyi', '', 'rahat', 'değil', 'otur', 'yer']","['ürün', 'iyi', '', 'rahat', 'değil', 'otur', 'yer']"
Yani fiyatına göre normal,2,yani fiyatına göre normal,yani fiyatına göre normal,"['yani', 'fiyatına', 'göre', 'normal']","['fiyatına', 'göre', 'normal']","['fiyat', 'göre', 'normal']","['fiyat', 'göre', 'normal']"
fiyata gore ideal ancak deri geldi,2,fiyata gore ideal ancak deri geldi,fiyata gore ideal ancak deri geldi,"['fiyata', 'gore', 'ideal', 'ancak', 'deri', 'geldi']","['fiyata', 'gore', 'ideal', 'ancak', 'deri', 'geldi']","['fiyat', '', 'ideal', 'ancak', 'deri', 'gel']","['fiyat', '', 'ideal', 'ancak', 'deri', 'gel']"
Çok rahat ve kullanışlı,1,çok rahat ve kullanışlı,çok rahat ve kullanışlı,"['çok', 'rahat', 've', 'kullanışlı']","['rahat', 'kullanışlı']","['rahat', 'kullanışlı']","['rahat', 'kullanışlı']"
küçük ve sert fiyatina gore anca boyle.,0,küçük ve sert fiyatina gore anca boyle.,küçük ve sert fiyatina gore anca boyle.,"['küçük', 've', 'sert', 'fiyatina', 'gore', 'anca', 'boyle']","['küçük', 'sert', 'fiyatina', 'gore', 'anca', 'boyle']","['küçük', 'sert', '', '', 'anca', '']","['küçük', 'sert', '', '', 'anca', '']"
Yani biraz küçük geldi bana,0,yani biraz küçük geldi bana,yani biraz küçük geldi bana,"['yani', 'biraz', 'küçük', 'geldi', 'bana']","['biraz', 'küçük', 'geldi', 'bana']","['biraz', 'küçük', 'gel', 'bana']","['biraz', 'küçük', 'gel', 'bana']"
idare eder,2,idare eder,idare eder,"['idare', 'eder']","['idare', 'eder']","['idare', 'eder']","['idar', 'eder']"
Ürün kullanışlı,1,ürün kullanışlı,ürün kullanışlı,"['ürün', 'kullanışlı']","['ürün', 'kullanışlı']","['ürün', 'kullanışlı']","['ürün', 'kullanışlı']"
Çok rahat,1,çok rahat,çok rahat,"['çok', 'rahat']",['rahat'],['rahat'],['rahat']
iyi ve kullanışlı,1,iyi ve kullanışlı,iyi ve kullanışlı,"['iyi', 've', 'kullanışlı']","['iyi', 'kullanışlı']","['iyi', 'kullanışlı']","['iyi', 'kullanışlı']"
Cok memnun kaldık,1,cok memnun kaldık,cok memnun kaldık,"['cok', 'memnun', 'kaldık']","['cok', 'memnun', 'kaldık']","['', 'memnun', 'kal']","['', 'memnun', 'kal']"
güzel göründüğü gibi,1,güzel göründüğü gibi,güzel göründüğü gibi,"['güzel', 'göründüğü', 'gibi']","['güzel', 'göründüğü']","['güzel', 'göründük']","['güzel', 'göründük']"
Güzel ama geç geldi,1,güzel ama geç geldi,güzel ama geç geldi,"['güzel', 'ama', 'geç', 'geldi']","['güzel', 'geç', 'geldi']","['güzel', 'geç', 'gel']","['güzel', 'geç', 'gel']"
Güzellll bir ürün,1,güzellll bir ürün,güzellll bir ürün,"['güzellll', 'bir', 'ürün']","['güzellll', 'bir', 'ürün']","['', 'bir', 'ürün']","['', 'bir', 'ürün']"
güzel bir ürün,1,güzel bir ürün,güzel bir ürün,"['güzel', 'bir', 'ürün']","['güzel', 'bir', 'ürün']","['güzel', 'bir', 'ürün']","['güzel', 'bir', 'ürün']"
İş görür güzel ??,1,i̇ş görür güzel ??,i̇ş görür güzel ??,"['iş', 'görür', 'güzel']","['iş', 'görür', 'güzel']","['iş', 'gör', 'güzel']","['iş', 'gör', 'güzel']"
Fiyatına göre gayet iyi,1,fiyatına göre gayet iyi,fiyatına göre gayet iyi,"['fiyatına', 'göre', 'gayet', 'iyi']","['fiyatına', 'göre', 'gayet', 'iyi']","['fiyat', 'göre', 'gayet', 'iyi']","['fiyat', 'göre', 'gayet', 'iyi']"
Fiyatına göre güzel biraz ufak ama,1,fiyatına göre güzel biraz ufak ama,fiyatına göre güzel biraz ufak ama,"['fiyatına', 'göre', 'güzel', 'biraz', 'ufak', 'ama']","['fiyatına', 'göre', 'güzel', 'biraz', 'ufak']","['fiyat', 'göre', 'güzel', 'biraz', 'ufak']","['fiyat', 'göre', 'güzel', 'biraz', 'ufak']"
"Göründüğünden daha rahatsız ve kullanışsız. Gövde birbirine tutturulmuyor, güvenli değil ve ayrıca kolu ikinci günde kırıldı. fiyat ve performans çok uyumsuz. kesinlikle tavsiye etmem.",0,"göründüğünden daha rahatsız ve kullanışsız. gövde birbirine tutturulmuyor, güvenli değil ve ayrıca kolu ikinci günde kırıldı. fiyat ve performans çok uyumsuz. kesinlikle tavsiye etmem.","göründüğünden daha rahatsız ve kullanışsız. gövde birbirine tutturulmuyor, güvenli değil ve ayrıca kolu ikinci günde kırıldı. fiyat ve performans çok uyumsuz. kesinlikle tavsiye etmem.","['göründüğünden', 'daha', 'rahatsız', 've', 'kullanışsız', 'gövde', 'birbirine', 'tutturulmuyor', 'güvenli', 'değil', 've', 'ayrıca', 'kolu', 'ikinci', 'günde', 'kırıldı', 'fiyat', 've', 'performans', 'çok', 'uyumsuz', 'kesinlikle', 'tavsiye', 'etmem']","['göründüğünden', 'rahatsız', 'kullanışsız', 'gövde', 'birbirine', 'tutturulmuyor', 'güvenli', 'değil', 'ayrıca', 'kolu', 'ikinci', 'günde', 'kırıldı', 'fiyat', 'performans', 'uyumsuz', 'kesinlikle', 'tavsiye', 'etmem']","['göründüğünde', 'rahatsız', 'kullanışsız', 'gövde', 'birbiri', 'tutturul', 'güvenli', 'değil', 'ayrı', 'kol', 'ikinci', 'günde', 'kırıl', 'fiyat', 'performans', 'uyumsuz', 'kesinlik', 'tavsiye', 'et']","['göründüğünde', 'rahatsız', 'kullanışsız', 'gövde', 'birbiri', 'tutturul', 'güvenli', 'değil', 'ayrı', 'kol', 'ikinci', 'günde', 'kırıl', 'fiyat', 'performan', 'uyumsuz', 'kesinlik', 'tavsiy', 'et']"
Ürünü koliye koyma gereği bile duymamışlar. Ezilme var bi çok yerinde 2.el gibi ürün. Alçaltma yükseltme çubugunun ucu pedalıda yok demirle oluyor. Yazık,0,ürünü koliye koyma gereği bile duymamışlar. ezilme var bi çok yerinde 2.el gibi ürün. alçaltma yükseltme çubugunun ucu pedalıda yok demirle oluyor. yazık,ürünü koliye koyma gereği bile duymamışlar. ezilme var bi çok yerinde 2.el gibi ürün. alçaltma yükseltme çubugunun ucu pedalıda yok demirle oluyor. yazık,"['ürünü', 'koliye', 'koyma', 'gereği', 'bile', 'duymamışlar', 'ezilme', 'var', 'bi', 'çok', 'yerinde', 'el', 'gibi', 'ürün', 'alçaltma', 'yükseltme', 'çubugunun', 'ucu', 'pedalıda', 'yok', 'demirle', 'oluyor', 'yazık']","['ürünü', 'koliye', 'koyma', 'gereği', 'bile', 'duymamışlar', 'ezilme', 'var', 'bi', 'yerinde', 'el', 'ürün', 'alçaltma', 'yükseltme', 'çubugunun', 'ucu', 'pedalıda', 'yok', 'demirle', 'oluyor', 'yazık']","['ürün', 'koli', 'koy', 'gerek', 'bile', 'duy', 'ezil', 'var', '', 'yerinde', 'el', 'ürün', 'alçalt', 'yükselt', '', 'uç', '', 'yok', 'demir', 'ol', 'yazık']","['ürün', 'koli', 'koy', 'gerek', 'bile', 'duy', 'ezil', 'var', '', 'yerind', 'el', 'ürün', 'alçalt', 'yükselt', '', 'uç', '', 'yok', 'demir', 'ol', 'yazık']"
paketleme güzel fakat içinden herhangi bir kurulum için talimatname çıkmadı. hidroliği oturduktan sonra en yüksek seviyede sallanma oluyor. aciliyetim olmasaydı iade edecektim. beğenmedim,0,paketleme güzel fakat içinden herhangi bir kurulum için talimatname çıkmadı. hidroliği oturduktan sonra en yüksek seviyede sallanma oluyor. aciliyetim olmasaydı iade edecektim. beğenmedim,paketleme güzel fakat içinden herhangi bir kurulum için talimatname çıkmadı. hidroliği oturduktan sonra en yüksek seviyede sallanma oluyor. aciliyetim olmasaydı iade edecektim. beğenmedim,"['paketleme', 'güzel', 'fakat', 'içinden', 'herhangi', 'bir', 'kurulum', 'için', 'talimatname', 'çıkmadı', 'hidroliği', 'oturduktan', 'sonra', 'en', 'yüksek', 'seviyede', 'sallanma', 'oluyor', 'aciliyetim', 'olmasaydı', 'iade', 'edecektim', 'beğenmedim']","['paketleme', 'güzel', 'fakat', 'içinden', 'herhangi', 'bir', 'kurulum', 'talimatname', 'çıkmadı', 'hidroliği', 'oturduktan', 'sonra', 'yüksek', 'seviyede', 'sallanma', 'oluyor', 'aciliyetim', 'olmasaydı', 'iade', 'edecektim', 'beğenmedim']","['paketle', 'güzel', 'fakat', 'içinde', 'herhangi', 'bir', 'kurulu', 'talimatname', 'çık', 'hidrolik', 'oturduk', 'sonra', 'yüksek', 'seviye', 'sallan', 'ol', 'aciliyet', 'ol', 'iade', 'edecek', 'beğen']","['paketl', 'güzel', 'fakat', 'içind', 'herhangi', 'bir', 'kurulu', 'talimatnam', 'çık', 'hidrolik', 'oturduk', 'sonra', 'yüksek', 'seviy', 'sallan', 'ol', 'aciliyet', 'ol', 'iad', 'edecek', 'beğen']"
çok kalitesiz kimseye tavsiye etmiyorum ilk aydan arkası ve yanları kırıldı vereceğiniz paraya yazıl almayın bence,0,çok kalitesiz kimseye tavsiye etmiyorum ilk aydan arkası ve yanları kırıldı vereceğiniz paraya yazıl almayın bence,çok kalitesiz kimseye tavsiye etmiyorum ilk aydan arkası ve yanları kırıldı vereceğiniz paraya yazıl almayın bence,"['çok', 'kalitesiz', 'kimseye', 'tavsiye', 'etmiyorum', 'ilk', 'aydan', 'arkası', 've', 'yanları', 'kırıldı', 'vereceğiniz', 'paraya', 'yazıl', 'almayın', 'bence']","['kalitesiz', 'kimseye', 'tavsiye', 'etmiyorum', 'ilk', 'aydan', 'arkası', 'yanları', 'kırıldı', 'vereceğiniz', 'paraya', 'yazıl', 'almayın', 'bence']","['kalitesiz', 'kimse', 'tavsiye', 'et', 'ilk', 'ay', 'arka', 'yan', 'kırıl', 'verecek', 'para', 'yazıl', 'al', 'ben']","['kalitesiz', 'kims', 'tavsiy', 'et', 'ilk', 'ay', 'arka', 'yan', 'kırıl', 'verecek', 'para', 'yazıl', 'al', 'ben']"
Ürün 3 günde geldi ama bazı yerinde çatlak vardı birde yukarı aşağı yapan kolun plastik parçası eksik geldi fitatına göre kalite bana göre resimdeki gibi kaliteli değil,0,ürün 3 günde geldi ama bazı yerinde çatlak vardı birde yukarı aşağı yapan kolun plastik parçası eksik geldi fitatına göre kalite bana göre resimdeki gibi kaliteli değil,ürün 3 günde geldi ama bazı yerinde çatlak vardı birde yukarı aşağı yapan kolun plastik parçası eksik geldi fitatına göre kalite bana göre resimdeki gibi kaliteli değil,"['ürün', 'günde', 'geldi', 'ama', 'bazı', 'yerinde', 'çatlak', 'vardı', 'birde', 'yukarı', 'aşağı', 'yapan', 'kolun', 'plastik', 'parçası', 'eksik', 'geldi', 'fitatına', 'göre', 'kalite', 'bana', 'göre', 'resimdeki', 'gibi', 'kaliteli', 'değil']","['ürün', 'günde', 'geldi', 'yerinde', 'çatlak', 'vardı', 'birde', 'yukarı', 'aşağı', 'yapan', 'kolun', 'plastik', 'parçası', 'eksik', 'geldi', 'fitatına', 'göre', 'kalite', 'bana', 'göre', 'resimdeki', 'kaliteli', 'değil']","['ürün', 'günde', 'gel', 'yerinde', 'çatlak', 'var', 'bir', 'yukarı', 'aşağı', 'yapan', 'kol', 'plastik', 'parça', 'eksik', 'gel', '', 'göre', 'kalite', 'bana', 'göre', 'resim', 'kaliteli', 'değil']","['ürün', 'günde', 'gel', 'yerind', 'çatlak', 'var', 'bir', 'yukarı', 'aşağı', 'yapan', 'kol', 'plastik', 'parça', 'eksik', 'gel', '', 'göre', 'kalit', 'bana', 'göre', 'resim', 'kalit', 'değil']"
Kalitesiz. Ve ürünün sırt dayamasındaki plastik kısım kırık geldi. Amatisör çubuğunun kolu yok demirden ibaret. Kesinlikle almayın.,0,kalitesiz. ve ürünün sırt dayamasındaki plastik kısım kırık geldi. amatisör çubuğunun kolu yok demirden ibaret. kesinlikle almayın.,kalitesiz. ve ürünün sırt dayamasındaki plastik kısım kırık geldi. amatisör çubuğunun kolu yok demirden ibaret. kesinlikle almayın.,"['kalitesiz', 've', 'ürünün', 'sırt', 'dayamasındaki', 'plastik', 'kısım', 'kırık', 'geldi', 'amatisör', 'çubuğunun', 'kolu', 'yok', 'demirden', 'ibaret', 'kesinlikle', 'almayın']","['kalitesiz', 'ürünün', 'sırt', 'dayamasındaki', 'plastik', 'kısım', 'kırık', 'geldi', 'amatisör', 'çubuğunun', 'kolu', 'yok', 'demirden', 'ibaret', 'kesinlikle', 'almayın']","['kalitesiz', 'ürün', 'sırt', 'dayama', 'plastik', 'kısım', 'kırık', 'gel', '', 'çubuk', 'kol', 'yok', 'demir', 'ibaret', 'kesinlik', 'al']","['kalitesiz', 'ürün', 'sırt', 'dayama', 'plastik', 'kısım', 'kırık', 'gel', '', 'çubuk', 'kol', 'yok', 'demir', 'ibaret', 'kesinlik', 'al']"
BEN HAYATIMDA BU KADAR DANDİK BU KADAR KALİTESİZ BİR SANDALYE GÖRMEDİM. RESMEN PLASTİK İSRAFI BÖYLE BİR ÜRÜNÜN BU SİTEDE SATIŞA SUNULMASI UTANÇ VERİCİDİR UMARIM GEREĞİNİ YAPARLAR,0,ben hayatimda bu kadar dandi̇k bu kadar kali̇tesi̇z bi̇r sandalye görmedi̇m. resmen plasti̇k i̇srafi böyle bi̇r ürünün bu si̇tede satişa sunulmasi utanç veri̇ci̇di̇r umarim gereği̇ni̇ yaparlar,ben hayatimda bu kadar dandi̇k bu kadar kali̇tesi̇z bi̇r sandalye görmedi̇m. resmen plasti̇k i̇srafi böyle bi̇r ürünün bu si̇tede satişa sunulmasi utanç veri̇ci̇di̇r umarim gereği̇ni̇ yaparlar,"['ben', 'hayatimda', 'bu', 'kadar', 'dandik', 'bu', 'kadar', 'kalitesiz', 'bir', 'sandalye', 'görmedim', 'resmen', 'plastik', 'israfi', 'böyle', 'bir', 'ürünün', 'bu', 'sitede', 'satişa', 'sunulmasi', 'utanç', 'vericidir', 'umarim', 'gereğini', 'yaparlar']","['ben', 'hayatimda', 'kadar', 'dandik', 'kadar', 'kalitesiz', 'bir', 'sandalye', 'görmedim', 'resmen', 'plastik', 'israfi', 'böyle', 'bir', 'ürünün', 'sitede', 'satişa', 'sunulmasi', 'utanç', 'vericidir', 'umarim', 'gereğini', 'yaparlar']","['ben', '', 'kadar', 'dandik', 'kadar', 'kalitesiz', 'bir', 'sandalye', 'gör', 'resmen', 'plastik', '', 'böyle', 'bir', 'ürün', 'site', '', '', 'utanç', 'verici', '', 'gerek', 'yap']","['ben', '', 'kadar', 'dandik', 'kadar', 'kalitesiz', 'bir', 'sandaly', 'gör', 'resmen', 'plastik', '', 'böyle', 'bir', 'ürün', 'site', '', '', 'utanç', 'verici', '', 'gerek', 'yap']"
Yaşlanma yerinde deri ile arkanın birleştiği yerde kırık var. Ayaklarında da soyulmalar var. Fiyatı itibariyle çok kaliteli birşey beklemiyordum ama bu kadar da kırık soyulma vs olacağını tahmin etmemiştim.,0,yaşlanma yerinde deri ile arkanın birleştiği yerde kırık var. ayaklarında da soyulmalar var. fiyatı itibariyle çok kaliteli birşey beklemiyordum ama bu kadar da kırık soyulma vs olacağını tahmin etmemiştim.,yaşlanma yerinde deri ile arkanın birleştiği yerde kırık var. ayaklarında da soyulmalar var. fiyatı itibariyle çok kaliteli birşey beklemiyordum ama bu kadar da kırık soyulma vs olacağını tahmin etmemiştim.,"['yaşlanma', 'yerinde', 'deri', 'ile', 'arkanın', 'birleştiği', 'yerde', 'kırık', 'var', 'ayaklarında', 'da', 'soyulmalar', 'var', 'fiyatı', 'itibariyle', 'çok', 'kaliteli', 'birşey', 'beklemiyordum', 'ama', 'bu', 'kadar', 'da', 'kırık', 'soyulma', 'vs', 'olacağını', 'tahmin', 'etmemiştim']","['yaşlanma', 'yerinde', 'deri', 'arkanın', 'birleştiği', 'yerde', 'kırık', 'var', 'ayaklarında', 'soyulmalar', 'var', 'fiyatı', 'itibariyle', 'kaliteli', 'beklemiyordum', 'kadar', 'kırık', 'soyulma', 'vs', 'olacağını', 'tahmin', 'etmemiştim']","['yaşlan', 'yerinde', 'deri', 'arka', 'birleştik', 'yer', 'kırık', 'var', 'ayak', 'soyulma', 'var', 'fiyat', 'itibari', 'kaliteli', 'bekle', 'kadar', 'kırık', 'soyul', '', 'olacak', 'tahmin', 'et']","['yaşlan', 'yerind', 'deri', 'arka', 'birleştik', 'yer', 'kırık', 'var', 'ayak', 'soyulma', 'var', 'fiyat', 'itibari', 'kalit', 'bekl', 'kadar', 'kırık', 'soyul', '', 'olacak', 'tahmin', 'et']"
"ürünün bir parçası eksik geldi, kargo iyi değildi ürün biraz hasar almıştı ayrıca fotoğrafla alakası Yok",0,"ürünün bir parçası eksik geldi, kargo iyi değildi ürün biraz hasar almıştı ayrıca fotoğrafla alakası yok","ürünün bir parçası eksik geldi, kargo iyi değildi ürün biraz hasar almıştı ayrıca fotoğrafla alakası yok","['ürünün', 'bir', 'parçası', 'eksik', 'geldi', 'kargo', 'iyi', 'değildi', 'ürün', 'biraz', 'hasar', 'almıştı', 'ayrıca', 'fotoğrafla', 'alakası', 'yok']","['ürünün', 'bir', 'parçası', 'eksik', 'geldi', 'kargo', 'iyi', 'değildi', 'ürün', 'biraz', 'hasar', 'almıştı', 'ayrıca', 'fotoğrafla', 'alakası', 'yok']","['ürün', 'bir', 'parça', 'eksik', 'gel', 'kargo', 'iyi', 'değil', 'ürün', 'biraz', 'hasar', 'al', 'ayrı', 'fotoğraf', 'alaka', 'yok']","['ürün', 'bir', 'parça', 'eksik', 'gel', 'kargo', 'iyi', 'değil', 'ürün', 'biraz', 'hasar', 'al', 'ayrı', 'fotoğraf', 'alaka', 'yok']"
2 adet satın aldığım sandalyelerin paketlenmesi çok kötüydü. 2 sandalyeden bir tanesinin ayağını hic takamadım.,0,2 adet satın aldığım sandalyelerin paketlenmesi çok kötüydü. 2 sandalyeden bir tanesinin ayağını hic takamadım.,2 adet satın aldığım sandalyelerin paketlenmesi çok kötüydü. 2 sandalyeden bir tanesinin ayağını hic takamadım.,"['adet', 'satın', 'aldığım', 'sandalyelerin', 'paketlenmesi', 'çok', 'kötüydü', 'sandalyeden', 'bir', 'tanesinin', 'ayağını', 'hic', 'takamadım']","['adet', 'satın', 'aldığım', 'sandalyelerin', 'paketlenmesi', 'kötüydü', 'sandalyeden', 'bir', 'tanesinin', 'ayağını', 'hic', 'takamadım']","['adet', 'satı', 'aldık', 'sandalye', 'paketlenme', 'kötü', 'sandalye', 'bir', 'tane', 'ayak', '', 'tak']","['adet', 'satı', 'aldık', 'sandaly', 'paketlenm', 'kötü', 'sandaly', 'bir', 'tane', 'ayak', '', 'tak']"
Sok Kolçak kırık geldi. Sağ Kolçak ise oturma malzemesi sunta olduğu için 1 günlük kullanımdan sonra vidaları yerinden çıktı.,0,sok kolçak kırık geldi. sağ kolçak ise oturma malzemesi sunta olduğu için 1 günlük kullanımdan sonra vidaları yerinden çıktı.,sok kolçak kırık geldi. sağ kolçak ise oturma malzemesi sunta olduğu için 1 günlük kullanımdan sonra vidaları yerinden çıktı.,"['sok', 'kolçak', 'kırık', 'geldi', 'sağ', 'kolçak', 'ise', 'oturma', 'malzemesi', 'sunta', 'olduğu', 'için', 'günlük', 'kullanımdan', 'sonra', 'vidaları', 'yerinden', 'çıktı']","['sok', 'kolçak', 'kırık', 'geldi', 'sağ', 'kolçak', 'oturma', 'malzemesi', 'sunta', 'olduğu', 'günlük', 'kullanımdan', 'sonra', 'vidaları', 'yerinden', 'çıktı']","['sok', 'kolçak', 'kırık', 'gel', 'sağ', 'kolçak', 'otur', 'malzeme', 'sunta', 'olduk', 'günlük', 'kullanım', 'sonra', 'vidalar', 'yerinde', 'çıktı']","['sok', 'kolçak', 'kırık', 'gel', 'sağ', 'kolçak', 'otur', 'malzem', 'sunta', 'olduk', 'günlük', 'kullanım', 'sonra', 'vidalar', 'yerind', 'çıktı']"
